CODUBI,DEPUBI,PROVUBI,DISTUBI
"10402","AMAZONAS","CONDORCANQUI","EL CENEPA"
"10403","AMAZONAS","CONDORCANQUI","RIO SANTIAGO"
"10501","AMAZONAS","LUYA","LAMUD"
"10502","AMAZONAS","LUYA","CAMPORREDONDO"
"10503","AMAZONAS","LUYA","COCABAMBA"
"10504","AMAZONAS","LUYA","COLCAMAR"
"10505","AMAZONAS","LUYA","CONILA"
"10506","AMAZONAS","LUYA","INGUILPATA"
"10507","AMAZONAS","LUYA","LONGUITA"
"10508","AMAZONAS","LUYA","LONYA CHICO"
"10509","AMAZONAS","LUYA","LUYA"
"10510","AMAZONAS","LUYA","LUYA VIEJO"
"10511","AMAZONAS","LUYA","MARIA"
"10512","AMAZONAS","LUYA","OCALLI"
"10513","AMAZONAS","LUYA","OCUMAL"
"10514","AMAZONAS","LUYA","PISUQUIA"
"10515","AMAZONAS","LUYA","PROVUBIIDENCIA"
"10516","AMAZONAS","LUYA","SAN CRISTOBAL"
"10517","AMAZONAS","LUYA","SAN FRANCISCO DEL YESO"
"10518","AMAZONAS","LUYA","SAN JERONIMO"
"10519","AMAZONAS","LUYA","SAN JUAN DE LOPECANCHA"
"10520","AMAZONAS","LUYA","SANTA CATALINA"
"10521","AMAZONAS","LUYA","SANTO TOMAS"
"10522","AMAZONAS","LUYA","TINGO"
"10523","AMAZONAS","LUYA","TRITA"
"10601","AMAZONAS","RODRIGUEZ DE MENDOZA","SAN NICOLAS"
"10602","AMAZONAS","RODRIGUEZ DE MENDOZA","CHIRIMOTO"
"10603","AMAZONAS","RODRIGUEZ DE MENDOZA","COCHAMAL"
"10604","AMAZONAS","RODRIGUEZ DE MENDOZA","HUAMBO"
"10605","AMAZONAS","RODRIGUEZ DE MENDOZA","LIMABAMBA"
"10606","AMAZONAS","RODRIGUEZ DE MENDOZA","LONGAR"
"10607","AMAZONAS","RODRIGUEZ DE MENDOZA","MARISCAL BENAVIDES"
"10608","AMAZONAS","RODRIGUEZ DE MENDOZA","MILPUC"
"10609","AMAZONAS","RODRIGUEZ DE MENDOZA","OMIA"
"10610","AMAZONAS","RODRIGUEZ DE MENDOZA","SANTA ROSA"
"10611","AMAZONAS","RODRIGUEZ DE MENDOZA","TOTORA"
"10612","AMAZONAS","RODRIGUEZ DE MENDOZA","VISTA ALEGRE"
"10701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE"
"10702","AMAZONAS","UTCUBAMBA","CAJARURO"
"10703","AMAZONAS","UTCUBAMBA","CUMBA"
"10704","AMAZONAS","UTCUBAMBA","EL MILAGRO"
"10705","AMAZONAS","UTCUBAMBA","JAMALCA"
"10706","AMAZONAS","UTCUBAMBA","LONYA GRANDE"
"10707","AMAZONAS","UTCUBAMBA","YAMON"
"20101","ANCASH","HUARAZ","HUARAZ"
"20102","ANCASH","HUARAZ","COCHABAMBA"
"20103","ANCASH","HUARAZ","COLCABAMBA"
"20104","ANCASH","HUARAZ","HUANCHAY"
"20105","ANCASH","HUARAZ","INDEPENDENCIA"
"20106","ANCASH","HUARAZ","JANGAS"
"20107","ANCASH","HUARAZ","LA LIBERTAD"
"20108","ANCASH","HUARAZ","OLLEROS"
"20109","ANCASH","HUARAZ","PAMPAS"
"20110","ANCASH","HUARAZ","PARIACOTO"
"20111","ANCASH","HUARAZ","PIRA"
"20112","ANCASH","HUARAZ","TARICA"
"20201","ANCASH","AIJA","AIJA"
"20202","ANCASH","AIJA","CORIS"
"20203","ANCASH","AIJA","HUACLLAN"
"20204","ANCASH","AIJA","LA MERCED"
"20205","ANCASH","AIJA","SUCCHA"
"20301","ANCASH","ANTONIO RAYMONDI","LLAMELLIN"
"20302","ANCASH","ANTONIO RAYMONDI","ACZO"
"20303","ANCASH","ANTONIO RAYMONDI","CHACCHO"
"20304","ANCASH","ANTONIO RAYMONDI","CHINGAS"
"20305","ANCASH","ANTONIO RAYMONDI","MIRGAS"
"20306","ANCASH","ANTONIO RAYMONDI","SAN JUAN DE RONTOY"
"20401","ANCASH","ASUNCION","CHACAS"
"20402","ANCASH","ASUNCION","ACOCHACA"
"20501","ANCASH","BOLOGNESI","CHIQUIAN"
"20502","ANCASH","BOLOGNESI","ABELARDO PARDO LEZAMETA"
"20503","ANCASH","BOLOGNESI","ANTONIO RAYMONDI"
"20504","ANCASH","BOLOGNESI","AQUIA"
"20505","ANCASH","BOLOGNESI","CAJACAY"
"20506","ANCASH","BOLOGNESI","CANIS"
"20507","ANCASH","BOLOGNESI","COLQUIOC"
"20508","ANCASH","BOLOGNESI","HUALLANCA"
"20509","ANCASH","BOLOGNESI","HUASTA"
"20510","ANCASH","BOLOGNESI","HUAYLLACAYAN"
"20511","ANCASH","BOLOGNESI","LA PRIMAVERA"
"20512","ANCASH","BOLOGNESI","MANGAS"
"20513","ANCASH","BOLOGNESI","PACLLON"
"20514","ANCASH","BOLOGNESI","SAN MIGUEL DE CORPANQUI"
"20515","ANCASH","BOLOGNESI","TICLLOS"
"20601","ANCASH","CARHUAZ","CARHUAZ"
"20602","ANCASH","CARHUAZ","ACOPAMPA"
"20603","ANCASH","CARHUAZ","AMASHCA"
"20604","ANCASH","CARHUAZ","ANTA"
"20605","ANCASH","CARHUAZ","ATAQUERO"
"20606","ANCASH","CARHUAZ","MARCARA"
"20607","ANCASH","CARHUAZ","PARIAHUANCA"
"20608","ANCASH","CARHUAZ","SAN MIGUEL DE ACO"
"20609","ANCASH","CARHUAZ","SHILLA"
"20610","ANCASH","CARHUAZ","TINCO"
"20611","ANCASH","CARHUAZ","YUNGAR"
"20701","ANCASH","CARLOS FERMIN FITZCARRALD","SAN LUIS"
"20702","ANCASH","CARLOS FERMIN FITZCARRALD","SAN NICOLAS"
"20703","ANCASH","CARLOS FERMIN FITZCARRALD","YAUYA"
"20801","ANCASH","CASMA","CASMA"
"20802","ANCASH","CASMA","BUENA VISTA ALTA"
"20803","ANCASH","CASMA","COMANDANTE NOEL"
"20804","ANCASH","CASMA","YAUTAN"
"20901","ANCASH","CORONGO","CORONGO"
"20902","ANCASH","CORONGO","ACO"
"20903","ANCASH","CORONGO","BAMBAS"
"20904","ANCASH","CORONGO","CUSCA"
"20905","ANCASH","CORONGO","LA PAMPA"
"20906","ANCASH","CORONGO","YANAC"
"20907","ANCASH","CORONGO","YUPAN"
"21001","ANCASH","HUARI","HUARI"
"21002","ANCASH","HUARI","ANRA"
"21003","ANCASH","HUARI","CAJAY"
"21004","ANCASH","HUARI","CHAVIN DE HUANTAR"
"21005","ANCASH","HUARI","HUACACHI"
"21006","ANCASH","HUARI","HUACCHIS"
"21007","ANCASH","HUARI","HUACHIS"
"21008","ANCASH","HUARI","HUANTAR"
"21009","ANCASH","HUARI","MASIN"
"21010","ANCASH","HUARI","PAUCAS"
"21011","ANCASH","HUARI","PONTO"
"21012","ANCASH","HUARI","RAHUAPAMPA"
"21013","ANCASH","HUARI","RAPAYAN"
"21014","ANCASH","HUARI","SAN MARCOS"
"21015","ANCASH","HUARI","SAN PEDRO DE CHANA"
"21016","ANCASH","HUARI","UCO"
"21101","ANCASH","HUARMEY","HUARMEY"
"21102","ANCASH","HUARMEY","COCHAPETI"
"21103","ANCASH","HUARMEY","CULEBRAS"
"21104","ANCASH","HUARMEY","HUAYAN"
"21105","ANCASH","HUARMEY","MALVAS"
"21201","ANCASH","HUAYLAS","CARAZ"
"21202","ANCASH","HUAYLAS","HUALLANCA"
"21203","ANCASH","HUAYLAS","HUATA"
"21204","ANCASH","HUAYLAS","HUAYLAS"
"21205","ANCASH","HUAYLAS","MATO"
"21206","ANCASH","HUAYLAS","PAMPAROMAS"
"21207","ANCASH","HUAYLAS","PUEBLO LIBRE"
"21208","ANCASH","HUAYLAS","SANTA CRUZ"
"21209","ANCASH","HUAYLAS","SANTO TORIBIO"
"21210","ANCASH","HUAYLAS","YURACMARCA"
"21301","ANCASH","MARISCAL LUZURIAGA","PISCOBAMBA"
"21302","ANCASH","MARISCAL LUZURIAGA","CASCA"
"21303","ANCASH","MARISCAL LUZURIAGA","ELEAZAR GUZMAN BARRON"
"21304","ANCASH","MARISCAL LUZURIAGA","FIDEL OLIVAS ESCUDERO"
"21305","ANCASH","MARISCAL LUZURIAGA","LLAMA"
"21306","ANCASH","MARISCAL LUZURIAGA","LLUMPA"
"21307","ANCASH","MARISCAL LUZURIAGA","LUCMA"
"21308","ANCASH","MARISCAL LUZURIAGA","MUSGA"
"21401","ANCASH","OCROS","OCROS"
"21402","ANCASH","OCROS","ACAS"
"21403","ANCASH","OCROS","CAJAMARQUILLA"
"21404","ANCASH","OCROS","CARHUAPAMPA"
"21405","ANCASH","OCROS","COCHAS"
"21406","ANCASH","OCROS","CONGAS"
"21407","ANCASH","OCROS","LLIPA"
"21408","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"21409","ANCASH","OCROS","SAN PEDRO"
"21410","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"21501","ANCASH","PALLASCA","CABANA"
"21502","ANCASH","PALLASCA","BOLOGNESI"
"21503","ANCASH","PALLASCA","CONCHUCOS"
"21504","ANCASH","PALLASCA","HUACASCHUQUE"
"21505","ANCASH","PALLASCA","HUANDOVAL"
"21506","ANCASH","PALLASCA","LACABAMBA"
"21507","ANCASH","PALLASCA","LLAPO"
"21508","ANCASH","PALLASCA","PALLASCA"
"21509","ANCASH","PALLASCA","PAMPAS"
"21510","ANCASH","PALLASCA","SANTA ROSA"
"21511","ANCASH","PALLASCA","TAUCA"
"21601","ANCASH","POMABAMBA","POMABAMBA"
"21602","ANCASH","POMABAMBA","HUAYLLAN"
"21603","ANCASH","POMABAMBA","PAROBAMBA"
"21604","ANCASH","POMABAMBA","QUINUABAMBA"
"21701","ANCASH","RECUAY","RECUAY"
"21702","ANCASH","RECUAY","CATAC"
"21703","ANCASH","RECUAY","COTAPARACO"
"21704","ANCASH","RECUAY","HUAYLLAPAMPA"
"21705","ANCASH","RECUAY","LLACLLIN"
"21706","ANCASH","RECUAY","MARCA"
"21707","ANCASH","RECUAY","PAMPAS CHICO"
"21708","ANCASH","RECUAY","PARARIN"
"21709","ANCASH","RECUAY","TAPACOCHA"
"21710","ANCASH","RECUAY","TICAPAMPA"
"21801","ANCASH","SANTA","CHIMBOTE"
"21802","ANCASH","SANTA","CACERES DEL PERU"
"21803","ANCASH","SANTA","COISHCO"
"21804","ANCASH","SANTA","MACATE"
"21805","ANCASH","SANTA","MORO"
"21806","ANCASH","SANTA","NEPEÑA"
"21807","ANCASH","SANTA","SAMANCO"
"21808","ANCASH","SANTA","SANTA"
"21809","ANCASH","SANTA","NUEVO CHIMBOTE"
"21901","ANCASH","SIHUAS","SIHUAS"
"21902","ANCASH","SIHUAS","ACOBAMBA"
"21903","ANCASH","SIHUAS","ALFONSO UGARTE"
"21904","ANCASH","SIHUAS","CASHAPAMPA"
"21905","ANCASH","SIHUAS","CHINGALPO"
"21906","ANCASH","SIHUAS","HUAYLLABAMBA"
"21907","ANCASH","SIHUAS","QUICHES"
"21908","ANCASH","SIHUAS","RAGASH"
"21909","ANCASH","SIHUAS","SAN JUAN"
"21910","ANCASH","SIHUAS","SICSIBAMBA"
"22001","ANCASH","YUNGAY","YUNGAY"
"22002","ANCASH","YUNGAY","CASCAPARA"
"22003","ANCASH","YUNGAY","MANCOS"
"22004","ANCASH","YUNGAY","MATACOTO"
"22005","ANCASH","YUNGAY","QUILLO"
"22006","ANCASH","YUNGAY","RANRAHIRCA"
"22007","ANCASH","YUNGAY","SHUPLUY"
"22008","ANCASH","YUNGAY","YANAMA"
"30101","APURIMAC","ABANCAY","ABANCAY"
"30102","APURIMAC","ABANCAY","CHACOCHE"
"30103","APURIMAC","ABANCAY","CIRCA"
"30104","APURIMAC","ABANCAY","CURAHUASI"
"30105","APURIMAC","ABANCAY","HUANIPACA"
"30106","APURIMAC","ABANCAY","LAMBRAMA"
"30107","APURIMAC","ABANCAY","PICHIRHUA"
"30108","APURIMAC","ABANCAY","SAN PEDRO DE CACHORA"
"30109","APURIMAC","ABANCAY","TAMBURCO"
"30201","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS"
"30202","APURIMAC","ANDAHUAYLAS","ANDARAPA"
"30203","APURIMAC","ANDAHUAYLAS","CHIARA"
"30204","APURIMAC","ANDAHUAYLAS","HUANCARAMA"
"30205","APURIMAC","ANDAHUAYLAS","HUANCARAY"
"30206","APURIMAC","ANDAHUAYLAS","HUAYANA"
"30207","APURIMAC","ANDAHUAYLAS","KISHUARA"
"30208","APURIMAC","ANDAHUAYLAS","PACOBAMBA"
"30209","APURIMAC","ANDAHUAYLAS","PACUCHA"
"30210","APURIMAC","ANDAHUAYLAS","PAMPACHIRI"
"30211","APURIMAC","ANDAHUAYLAS","POMACOCHA"
"30212","APURIMAC","ANDAHUAYLAS","SAN ANTONIO DE CACHI"
"30213","APURIMAC","ANDAHUAYLAS","SAN JERONIMO"
"30214","APURIMAC","ANDAHUAYLAS","SAN MIGUEL DE CHACCRAMPA"
"30215","APURIMAC","ANDAHUAYLAS","SANTA MARIA DE CHICMO"
"30216","APURIMAC","ANDAHUAYLAS","TALAVERA"
"30217","APURIMAC","ANDAHUAYLAS","TUMAY HUARACA"
"30218","APURIMAC","ANDAHUAYLAS","TURPO"
"30219","APURIMAC","ANDAHUAYLAS","KAQUIABAMBA"
"30301","APURIMAC","ANTABAMBA","ANTABAMBA"
"30302","APURIMAC","ANTABAMBA","EL ORO"
"30303","APURIMAC","ANTABAMBA","HUAQUIRCA"
"30304","APURIMAC","ANTABAMBA","JUAN ESPINOZA MEDRANO"
"30305","APURIMAC","ANTABAMBA","OROPESA"
"30306","APURIMAC","ANTABAMBA","PACHACONAS"
"30307","APURIMAC","ANTABAMBA","SABAINO"
"30401","APURIMAC","AYMARAES","CHALHUANCA"
"30402","APURIMAC","AYMARAES","CAPAYA"
"30403","APURIMAC","AYMARAES","CARAYBAMBA"
"30404","APURIMAC","AYMARAES","CHAPIMARCA"
"30405","APURIMAC","AYMARAES","COLCABAMBA"
"30406","APURIMAC","AYMARAES","COTARUSE"
"30407","APURIMAC","AYMARAES","HUAYLLO"
"30408","APURIMAC","AYMARAES","JUSTO APU SAHUARAURA"
"30409","APURIMAC","AYMARAES","LUCRE"
"30410","APURIMAC","AYMARAES","POCOHUANCA"
"30411","APURIMAC","AYMARAES","SAN JUAN DE CHACÑA"
"30412","APURIMAC","AYMARAES","SAÑAYCA"
"30413","APURIMAC","AYMARAES","SORAYA"
"30414","APURIMAC","AYMARAES","TAPAIRIHUA"
"30415","APURIMAC","AYMARAES","TINTAY"
"30416","APURIMAC","AYMARAES","TORAYA"
"30417","APURIMAC","AYMARAES","YANACA"
"30501","APURIMAC","COTABAMBAS","TAMBOBAMBA"
"30502","APURIMAC","COTABAMBAS","COTABAMBAS"
"30503","APURIMAC","COTABAMBAS","COYLLURQUI"
"30504","APURIMAC","COTABAMBAS","HAQUIRA"
"30505","APURIMAC","COTABAMBAS","MARA"
"30506","APURIMAC","COTABAMBAS","CHALLHUAHUACHO"
"30601","APURIMAC","CHINCHEROS","CHINCHEROS"
"30602","APURIMAC","CHINCHEROS","ANCO_HUALLO"
"30603","APURIMAC","CHINCHEROS","COCHARCAS"
"30604","APURIMAC","CHINCHEROS","HUACCANA"
"30605","APURIMAC","CHINCHEROS","OCOBAMBA"
"30606","APURIMAC","CHINCHEROS","ONGOY"
"30607","APURIMAC","CHINCHEROS","URANMARCA"
"30608","APURIMAC","CHINCHEROS","RANRACANCHA"
"30701","APURIMAC","GRAU","CHUQUIBAMBILLA"
"30702","APURIMAC","GRAU","CURPAHUASI"
"30703","APURIMAC","GRAU","GAMARRA"
"30704","APURIMAC","GRAU","HUAYLLATI"
"30705","APURIMAC","GRAU","MAMARA"
"30706","APURIMAC","GRAU","MICAELA BASTIDAS"
"30707","APURIMAC","GRAU","PATAYPAMPA"
"30708","APURIMAC","GRAU","PROGRESO"
"30709","APURIMAC","GRAU","SAN ANTONIO"
"30710","APURIMAC","GRAU","SANTA ROSA"
"30711","APURIMAC","GRAU","TURPAY"
"30712","APURIMAC","GRAU","VILCABAMBA"
"30713","APURIMAC","GRAU","VIRUNDO"
"30714","APURIMAC","GRAU","CURASCO"
"40101","AREQUIPA","AREQUIPA","AREQUIPA"
"40102","AREQUIPA","AREQUIPA","ALTO SELVA ALEGRE"
"40103","AREQUIPA","AREQUIPA","CAYMA"
"40104","AREQUIPA","AREQUIPA","CERRO COLORADO"
"40105","AREQUIPA","AREQUIPA","CHARACATO"
"40106","AREQUIPA","AREQUIPA","CHIGUATA"
"40107","AREQUIPA","AREQUIPA","JACOBO HUNTER"
"40108","AREQUIPA","AREQUIPA","LA JOYA"
"40109","AREQUIPA","AREQUIPA","MARIANO MELGAR"
"40110","AREQUIPA","AREQUIPA","MIRAFLORES"
"40111","AREQUIPA","AREQUIPA","MOLLEBAYA"
"40112","AREQUIPA","AREQUIPA","PAUCARPATA"
"40113","AREQUIPA","AREQUIPA","POCSI"
"40114","AREQUIPA","AREQUIPA","POLOBAYA"
"40115","AREQUIPA","AREQUIPA","QUEQUEÑA"
"40116","AREQUIPA","AREQUIPA","SABANDIA"
"40117","AREQUIPA","AREQUIPA","SACHACA"
"40118","AREQUIPA","AREQUIPA","SAN JUAN DE SIGUAS"
"40119","AREQUIPA","AREQUIPA","SAN JUAN DE TARUCANI"
"40120","AREQUIPA","AREQUIPA","SANTA ISABEL DE SIGUAS"
"40121","AREQUIPA","AREQUIPA","SANTA RITA DE SIGUAS"
"40122","AREQUIPA","AREQUIPA","SOCABAYA"
"40123","AREQUIPA","AREQUIPA","TIABAYA"
"40124","AREQUIPA","AREQUIPA","UCHUMAYO"
"40125","AREQUIPA","AREQUIPA","VITOR"
"40126","AREQUIPA","AREQUIPA","YANAHUARA"
"40127","AREQUIPA","AREQUIPA","YARABAMBA"
"40128","AREQUIPA","AREQUIPA","YURA"
"40129","AREQUIPA","AREQUIPA","JOSE LUIS BUSTAMANTE Y RIVERO"
"40201","AREQUIPA","CAMANA","CAMANA"
"40202","AREQUIPA","CAMANA","JOSE MARIA QUIMPER"
"40203","AREQUIPA","CAMANA","MARIANO NICOLAS VALCARCEL"
"40204","AREQUIPA","CAMANA","MARISCAL CACERES"
"40205","AREQUIPA","CAMANA","NICOLAS DE PIEROLA"
"40206","AREQUIPA","CAMANA","OCOÑA"
"40207","AREQUIPA","CAMANA","QUILCA"
"40208","AREQUIPA","CAMANA","SAMUEL PASTOR"
"40301","AREQUIPA","CARAVELI","CARAVELI"
"40302","AREQUIPA","CARAVELI","ACARI"
"40303","AREQUIPA","CARAVELI","ATICO"
"40304","AREQUIPA","CARAVELI","ATIQUIPA"
"40305","AREQUIPA","CARAVELI","BELLA UNION"
"40306","AREQUIPA","CARAVELI","CAHUACHO"
"40307","AREQUIPA","CARAVELI","CHALA"
"40308","AREQUIPA","CARAVELI","CHAPARRA"
"40309","AREQUIPA","CARAVELI","HUANUHUANU"
"40310","AREQUIPA","CARAVELI","JAQUI"
"40311","AREQUIPA","CARAVELI","LOMAS"
"40312","AREQUIPA","CARAVELI","QUICACHA"
"40313","AREQUIPA","CARAVELI","YAUCA"
"40401","AREQUIPA","CASTILLA","APLAO"
"40402","AREQUIPA","CASTILLA","ANDAGUA"
"40403","AREQUIPA","CASTILLA","AYO"
"40404","AREQUIPA","CASTILLA","CHACHAS"
"40405","AREQUIPA","CASTILLA","CHILCAYMARCA"
"40406","AREQUIPA","CASTILLA","CHOCO"
"40407","AREQUIPA","CASTILLA","HUANCARQUI"
"40408","AREQUIPA","CASTILLA","MACHAGUAY"
"40409","AREQUIPA","CASTILLA","ORCOPAMPA"
"40410","AREQUIPA","CASTILLA","PAMPACOLCA"
"40411","AREQUIPA","CASTILLA","TIPAN"
"40412","AREQUIPA","CASTILLA","UÑON"
"40413","AREQUIPA","CASTILLA","URACA"
"40414","AREQUIPA","CASTILLA","VIRACO"
"40501","AREQUIPA","CAYLLOMA","CHIVAY"
"40502","AREQUIPA","CAYLLOMA","ACHOMA"
"40503","AREQUIPA","CAYLLOMA","CABANACONDE"
"40504","AREQUIPA","CAYLLOMA","CALLALLI"
"40505","AREQUIPA","CAYLLOMA","CAYLLOMA"
"40506","AREQUIPA","CAYLLOMA","COPORAQUE"
"40507","AREQUIPA","CAYLLOMA","HUAMBO"
"40508","AREQUIPA","CAYLLOMA","HUANCA"
"40509","AREQUIPA","CAYLLOMA","ICHUPAMPA"
"40510","AREQUIPA","CAYLLOMA","LARI"
"40511","AREQUIPA","CAYLLOMA","LLUTA"
"40512","AREQUIPA","CAYLLOMA","MACA"
"40513","AREQUIPA","CAYLLOMA","MADRIGAL"
"40514","AREQUIPA","CAYLLOMA","SAN ANTONIO DE CHUCA"
"40515","AREQUIPA","CAYLLOMA","SIBAYO"
"40516","AREQUIPA","CAYLLOMA","TAPAY"
"40517","AREQUIPA","CAYLLOMA","TISCO"
"40518","AREQUIPA","CAYLLOMA","TUTI"
"40519","AREQUIPA","CAYLLOMA","YANQUE"
"40520","AREQUIPA","CAYLLOMA","MAJES"
"40601","AREQUIPA","CONDESUYOS","CHUQUIBAMBA"
"40602","AREQUIPA","CONDESUYOS","ANDARAY"
"40603","AREQUIPA","CONDESUYOS","CAYARANI"
"40604","AREQUIPA","CONDESUYOS","CHICHAS"
"40605","AREQUIPA","CONDESUYOS","IRAY"
"40606","AREQUIPA","CONDESUYOS","RIO GRANDE"
"40607","AREQUIPA","CONDESUYOS","SALAMANCA"
"40608","AREQUIPA","CONDESUYOS","YANAQUIHUA"
"40701","AREQUIPA","ISLAY","MOLLENDO"
"40702","AREQUIPA","ISLAY","COCACHACRA"
"40703","AREQUIPA","ISLAY","DEAN VALDIVIA"
"40704","AREQUIPA","ISLAY","ISLAY"
"40705","AREQUIPA","ISLAY","MEJIA"
"40706","AREQUIPA","ISLAY","PUNTA DE BOMBON"
"40801","AREQUIPA","LA UNION","COTAHUASI"
"40802","AREQUIPA","LA UNION","ALCA"
"40803","AREQUIPA","LA UNION","CHARCANA"
"40804","AREQUIPA","LA UNION","HUAYNACOTAS"
"40805","AREQUIPA","LA UNION","PAMPAMARCA"
"40806","AREQUIPA","LA UNION","PUYCA"
"40807","AREQUIPA","LA UNION","QUECHUALLA"
"40808","AREQUIPA","LA UNION","SAYLA"
"40809","AREQUIPA","LA UNION","TAURIA"
"40810","AREQUIPA","LA UNION","TOMEPAMPA"
"40811","AREQUIPA","LA UNION","TORO"
"50101","AYACUCHO","HUAMANGA","AYACUCHO"
"50102","AYACUCHO","HUAMANGA","ACOCRO"
"50103","AYACUCHO","HUAMANGA","ACOS VINCHOS"
"50104","AYACUCHO","HUAMANGA","CARMEN ALTO"
"50105","AYACUCHO","HUAMANGA","CHIARA"
"50106","AYACUCHO","HUAMANGA","OCROS"
"50107","AYACUCHO","HUAMANGA","PACAYCASA"
"50108","AYACUCHO","HUAMANGA","QUINUA"
"50109","AYACUCHO","HUAMANGA","SAN JOSE DE TICLLAS"
"50110","AYACUCHO","HUAMANGA","SAN JUAN BAUTISTA"
"50111","AYACUCHO","HUAMANGA","SANTIAGO DE PISCHA"
"50112","AYACUCHO","HUAMANGA","SOCOS"
"50113","AYACUCHO","HUAMANGA","TAMBILLO"
"50114","AYACUCHO","HUAMANGA","VINCHOS"
"50115","AYACUCHO","HUAMANGA","JESUS NAZARENO"
"50201","AYACUCHO","CANGALLO","CANGALLO"
"50202","AYACUCHO","CANGALLO","CHUSCHI"
"50203","AYACUCHO","CANGALLO","LOS MOROCHUCOS"
"50204","AYACUCHO","CANGALLO","MARIA PARADO DE BELLIDO"
"50205","AYACUCHO","CANGALLO","PARAS"
"50206","AYACUCHO","CANGALLO","TOTOS"
"50301","AYACUCHO","HUANCA SANCOS","SANCOS"
"50302","AYACUCHO","HUANCA SANCOS","CARAPO"
"50303","AYACUCHO","HUANCA SANCOS","SACSAMARCA"
"50304","AYACUCHO","HUANCA SANCOS","SANTIAGO DE LUCANAMARCA"
"50401","AYACUCHO","HUANTA","HUANTA"
"50402","AYACUCHO","HUANTA","AYAHUANCO"
"50403","AYACUCHO","HUANTA","HUAMANGUILLA"
"50404","AYACUCHO","HUANTA","IGUAIN"
"50405","AYACUCHO","HUANTA","LURICOCHA"
"50406","AYACUCHO","HUANTA","SANTILLANA"
"50407","AYACUCHO","HUANTA","SIVIA"
"50408","AYACUCHO","HUANTA","LLOCHEGUA"
"50501","AYACUCHO","LA MAR","SAN MIGUEL"
"50502","AYACUCHO","LA MAR","ANCO"
"50503","AYACUCHO","LA MAR","AYNA"
"50504","AYACUCHO","LA MAR","CHILCAS"
"50505","AYACUCHO","LA MAR","CHUNGUI"
"50506","AYACUCHO","LA MAR","LUIS CARRANZA"
"50507","AYACUCHO","LA MAR","SANTA ROSA"
"50508","AYACUCHO","LA MAR","TAMBO"
"50601","AYACUCHO","LUCANAS","PUQUIO"
"50602","AYACUCHO","LUCANAS","AUCARA"
"50603","AYACUCHO","LUCANAS","CABANA"
"50604","AYACUCHO","LUCANAS","CARMEN SALCEDO"
"50605","AYACUCHO","LUCANAS","CHAVIÑA"
"50606","AYACUCHO","LUCANAS","CHIPAO"
"50607","AYACUCHO","LUCANAS","HUAC-HUAS"
"50608","AYACUCHO","LUCANAS","LARAMATE"
